 91981/100000: episode: 2367, duration: 2.919s, episode steps:  27, steps per second:   9, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.259 [0.000, 3.000],  loss: 0.001972, mae: 0.272051, mean_q: 0.381847, mean_eps: 0.917230
 92006/100000: episode: 2368, duration: 2.628s, episode steps:  25, steps per second:  10, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.400 [0.000, 3.000],  loss: 0.004262, mae: 0.268866, mean_q: 0.377058, mean_eps: 0.917206
 92064/100000: episode: 2369, duration: 4.879s, episode steps:  58, steps per second:  12, episode reward:  1.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 1.517 [0.000, 3.000],  loss: 0.003449, mae: 0.276062, mean_q: 0.387864, mean_eps: 0.917169
 92099/100000: episode: 2370, duration: 2.900s, episode steps:  35, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.486 [0.000, 3.000],  loss: 0.002230, mae: 0.276614, mean_q: 0.385391, mean_eps: 0.917127
 92127/100000: episode: 2371, duration: 2.959s, episode steps:  28, steps per second:   9, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.250 [0.000, 3.000],  loss: 0.002201, mae: 0.284720, mean_q: 0.395651, mean_eps: 0.917099
 92180/100000: episode: 2372, duration: 4.975s, episode steps:  53, steps per second:  11, episode reward:  1.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.755 [0.000, 3.000],  loss: 0.001879, mae: 0.261065, mean_q: 0.367531, mean_eps: 0.917062
 92208/100000: episode: 2373, duration: 2.328s, episode steps:  28, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.750 [0.000, 3.000],  loss: 0.003375, mae: 0.280557, mean_q: 0.396904, mean_eps: 0.917026
 92238/100000: episode: 2374, duration: 2.462s, episode steps:  30, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.667 [0.000, 3.000],  loss: 0.002020, mae: 0.262697, mean_q: 0.364862, mean_eps: 0.917000
 92268/100000: episode: 2375, duration: 2.844s, episode steps:  30, steps per second:  11, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.267 [0.000, 3.000],  loss: 0.003211, mae: 0.254334, mean_q: 0.357806, mean_eps: 0.916973
 92344/100000: episode: 2376, duration: 7.140s, episode steps:  76, steps per second:  11, episode reward:  1.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 1.500 [0.000, 3.000],  loss: 0.002167, mae: 0.255471, mean_q: 0.357443, mean_eps: 0.916925
 92372/100000: episode: 2377, duration: 2.258s, episode steps:  28, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.357 [0.000, 3.000],  loss: 0.002573, mae: 0.271367, mean_q: 0.384206, mean_eps: 0.916878
 92425/100000: episode: 2378, duration: 5.141s, episode steps:  53, steps per second:  10, episode reward:  1.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.491 [0.000, 3.000],  loss: 0.002804, mae: 0.278214, mean_q: 0.388968, mean_eps: 0.916842
 92464/100000: episode: 2379, duration: 3.786s, episode steps:  39, steps per second:  10, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.769 [0.000, 3.000],  loss: 0.002071, mae: 0.259608, mean_q: 0.362086, mean_eps: 0.916800
 92491/100000: episode: 2380, duration: 2.236s, episode steps:  27, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.667 [0.000, 3.000],  loss: 0.002543, mae: 0.263002, mean_q: 0.367590, mean_eps: 0.916771
 92516/100000: episode: 2381, duration: 2.154s, episode steps:  25, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.720 [0.000, 3.000],  loss: 0.003039, mae: 0.273596, mean_q: 0.383167, mean_eps: 0.916747
 92547/100000: episode: 2382, duration: 2.572s, episode steps:  31, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.290 [0.000, 3.000],  loss: 0.002765, mae: 0.254439, mean_q: 0.357732, mean_eps: 0.916722
 92619/100000: episode: 2383, duration: 7.220s, episode steps:  72, steps per second:  10, episode reward:  1.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 1.431 [0.000, 3.000],  loss: 0.002412, mae: 0.273709, mean_q: 0.378347, mean_eps: 0.916676
 92645/100000: episode: 2384, duration: 2.128s, episode steps:  26, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.462 [0.000, 3.000],  loss: 0.002600, mae: 0.264068, mean_q: 0.371326, mean_eps: 0.916632
 92747/100000: episode: 2385, duration: 9.543s, episode steps: 102, steps per second:  11, episode reward:  2.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 1.735 [0.000, 3.000],  loss: 0.002253, mae: 0.256721, mean_q: 0.364163, mean_eps: 0.916574
 92850/100000: episode: 2386, duration: 8.340s, episode steps: 103, steps per second:  12, episode reward:  2.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.311 [0.000, 3.000],  loss: 0.001969, mae: 0.262364, mean_q: 0.365114, mean_eps: 0.916482
 92903/100000: episode: 2387, duration: 5.542s, episode steps:  53, steps per second:  10, episode reward:  1.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.585 [0.000, 3.000],  loss: 0.002047, mae: 0.274018, mean_q: 0.386610, mean_eps: 0.916412
 92930/100000: episode: 2388, duration: 2.280s, episode steps:  27, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.481 [0.000, 3.000],  loss: 0.002282, mae: 0.243523, mean_q: 0.345224, mean_eps: 0.916376
 92955/100000: episode: 2389, duration: 2.118s, episode steps:  25, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.280 [0.000, 3.000],  loss: 0.001983, mae: 0.269389, mean_q: 0.371577, mean_eps: 0.916352
 92980/100000: episode: 2390, duration: 2.074s, episode steps:  25, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.320 [0.000, 3.000],  loss: 0.002422, mae: 0.260348, mean_q: 0.364918, mean_eps: 0.916330
 93045/100000: episode: 2391, duration: 6.516s, episode steps:  65, steps per second:  10, episode reward:  1.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 1.538 [0.000, 3.000],  loss: 0.002590, mae: 0.262371, mean_q: 0.368785, mean_eps: 0.916289
 93074/100000: episode: 2392, duration: 2.460s, episode steps:  29, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.483 [0.000, 3.000],  loss: 0.002490, mae: 0.259618, mean_q: 0.366248, mean_eps: 0.916247
 93100/100000: episode: 2393, duration: 2.207s, episode steps:  26, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.654 [0.000, 3.000],  loss: 0.001714, mae: 0.265263, mean_q: 0.370505, mean_eps: 0.916222
 93174/100000: episode: 2394, duration: 7.123s, episode steps:  74, steps per second:  10, episode reward:  1.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 1.405 [0.000, 3.000],  loss: 0.001943, mae: 0.261935, mean_q: 0.367079, mean_eps: 0.916177
 93200/100000: episode: 2395, duration: 2.246s, episode steps:  26, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.154 [0.000, 3.000],  loss: 0.003237, mae: 0.267441, mean_q: 0.370469, mean_eps: 0.916132
 93255/100000: episode: 2396, duration: 4.412s, episode steps:  55, steps per second:  12, episode reward:  1.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 1.473 [0.000, 3.000],  loss: 0.002551, mae: 0.262839, mean_q: 0.364104, mean_eps: 0.916096
 93292/100000: episode: 2397, duration: 3.046s, episode steps:  37, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.838 [0.000, 3.000],  loss: 0.001511, mae: 0.262598, mean_q: 0.361159, mean_eps: 0.916054
 93375/100000: episode: 2398, duration: 7.992s, episode steps:  83, steps per second:  10, episode reward:  1.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 1.361 [0.000, 3.000],  loss: 0.002057, mae: 0.271051, mean_q: 0.380268, mean_eps: 0.916000
 93401/100000: episode: 2399, duration: 2.248s, episode steps:  26, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.538 [0.000, 3.000],  loss: 0.002145, mae: 0.258615, mean_q: 0.360313, mean_eps: 0.915951
 93432/100000: episode: 2400, duration: 2.598s, episode steps:  31, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.258 [0.000, 3.000],  loss: 0.002771, mae: 0.261187, mean_q: 0.364788, mean_eps: 0.915926
 93459/100000: episode: 2401, duration: 2.954s, episode steps:  27, steps per second:   9, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.926 [0.000, 3.000],  loss: 0.003069, mae: 0.275802, mean_q: 0.387952, mean_eps: 0.915899
 93487/100000: episode: 2402, duration: 2.967s, episode steps:  28, steps per second:   9, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.500 [0.000, 3.000],  loss: 0.001960, mae: 0.278751, mean_q: 0.389694, mean_eps: 0.915875
 93532/100000: episode: 2403, duration: 3.740s, episode steps:  45, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.578 [0.000, 3.000],  loss: 0.002527, mae: 0.269312, mean_q: 0.377690, mean_eps: 0.915842
 93560/100000: episode: 2404, duration: 2.389s, episode steps:  28, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.464 [0.000, 3.000],  loss: 0.002821, mae: 0.256685, mean_q: 0.361634, mean_eps: 0.915809
 93613/100000: episode: 2405, duration: 5.529s, episode steps:  53, steps per second:  10, episode reward:  1.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.585 [0.000, 3.000],  loss: 0.001621, mae: 0.269809, mean_q: 0.371568, mean_eps: 0.915773
 93650/100000: episode: 2406, duration: 3.267s, episode steps:  37, steps per second:  11, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.595 [0.000, 3.000],  loss: 0.002995, mae: 0.272985, mean_q: 0.383925, mean_eps: 0.915732
